stem,Particle,n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio,distance_to_center
M50L-01,0,10.0,3.0,200.0,201.0,2.0,2.0,5.0,0.5,200.284,620.676,699.122,16.1594,24.0,1.6216,1.3398,8.2889,0.8667,0.0502,0.0831,0.1128,0.5475,3.6238,0.8622,0.6351,92.79341496032998
M50L-01,0,20.0,4.0,200.0,202.0,3.0,7.0,6.0,0.1587,200.41,697.123,712.432,17.5234,16.0,1.4097,2.3957,5.5259,0.9208,0.0301,0.0491,0.0161,0.2316,4.1396,1.0353,0.3128,15.377150353690327
M50L-01,0,11.0,5.0,200.0,202.0,3.0,2.0,5.0,0.3667,200.486,629.266,720.572,18.0063,27.0,1.7168,0.6996,9.325,0.7506,0.1688,0.0806,0.3722,0.0951,4.1455,1.0333,0.7457,83.62449366064948
M50L-01,0,15.0,11.0,200.0,203.0,4.0,7.0,2.0,0.2679,200.555,695.13,605.035,22.6376,29.0,1.7126,0.5712,10.0158,0.8612,0.1096,0.0292,0.266,0.0103,4.4818,1.2077,0.8425,108.8597406068929
M50L-01,0,12.0,6.0,200.0,202.0,3.0,5.0,2.0,0.4,200.604,680.506,607.058,15.3445,21.0,1.6364,1.6241,7.2528,0.6154,0.3004,0.0842,0.0489,0.1204,3.6212,1.3806,0.6104,110.1890711459172
M50L-01,0,13.0,3.0,200.0,202.0,3.0,2.0,5.0,0.4333,200.623,633.552,730.393,17.5184,25.0,1.776,0.9206,8.6343,0.591,0.2832,0.1258,0.278,0.0235,4.1361,0.6934,0.6612,80.9502696289518
M50L-01,0,14.0,5.0,200.0,203.0,4.0,2.0,5.0,0.35,200.648,636.562,736.808,20.2015,27.0,1.726,1.1786,9.325,0.5877,0.3179,0.0944,0.2197,0.1602,3.971,0.6907,0.7397,79.73367361410106
M50L-01,0,25.0,6.0,200.0,203.0,4.0,4.0,8.0,0.1953,200.733,637.517,742.919,20.4309,18.0,1.5203,0.9007,6.2167,0.6942,0.0794,0.2264,0.1004,0.7574,2.4196,0.6935,0.4595,80.91826647920722
M50L-01,0,14.0,3.0,200.0,202.0,3.0,2.0,5.0,0.4667,200.747,601.193,705.073,13.8353,15.0,1.4,1.2057,5.1806,0.4954,0.3171,0.1874,0.3526,0.2041,3.9692,1.379,0.2733,111.55450944717566
M50L-01,0,12.0,7.0,200.0,203.0,4.0,2.0,4.0,0.375,200.8,713.724,603.706,16.9353,19.0,1.3412,1.118,6.5621,0.2649,0.4899,0.2452,0.904,0.052,5.0042,1.3783,0.6882,108.80088516184048
M50L-01,0,22.0,11.0,200.0,203.0,4.0,5.0,4.0,0.275,201.037,680.832,722.705,21.9197,24.0,1.7718,1.362,8.2889,0.3585,0.4663,0.1752,0.0823,0.1919,4.9952,1.381,0.6342,33.27167337240496
M50L-01,1,29.0,14.0,200.0,204.0,5.0,5.0,5.0,0.232,202.352,977.88,587.268,26.7433,33.0,2.2895,0.458,11.3742,0.4981,0.0536,0.4483,0.5772,0.3503,4.4821,1.7196,0.6435,293.4443698965785
M50L-01,1,14.0,6.0,875.0,878.0,4.0,4.0,3.0,0.2917,877.045,228.164,530.741,16.9777,22.0,1.4,1.4696,6.3525,0.6507,0.1684,0.181,0.5069,0.2368,4.0425,1.0106,0.6545,517.3177891557567
M50L-01,0,11.0,5.0,1205.0,1208.0,4.0,2.0,3.0,0.4583,1206.672,619.213,656.851,15.1079,22.0,1.3908,1.214,6.3354,0.4726,0.3968,0.1306,0.8219,0.2125,5.1835,1.7278,0.7069,108.6244704014708
M50L-01,1,15.0,3.0,1240.0,1243.0,4.0,3.0,4.0,0.3125,1241.377,1190.059,608.529,15.1632,19.0,1.3971,0.6528,5.4697,0.4116,0.3104,0.278,0.902,0.4308,3.1667,1.0076,0.3529,488.7459128442917
M50L-01,1,16.0,11.0,1350.0,1352.0,3.0,5.0,3.0,0.3556,1351.253,287.996,679.399,19.5995,29.0,1.6996,0.6517,8.3281,0.688,0.0662,0.2457,0.4222,0.8558,4.7384,2.0101,0.7656,425.79258121414
M50L-01,1,43.0,24.0,1910.0,1913.0,4.0,6.0,7.0,0.256,1911.451,1197.587,416.613,37.1143,57.0,2.9248,0.7882,16.5554,0.5888,0.1003,0.3109,0.0721,0.1133,4.6473,1.162,0.7351,568.2064011765443
M50L-01,1,14.0,5.0,1993.0,1995.0,3.0,2.0,3.0,0.7778,1993.784,441.418,864.042,16.7165,23.0,1.5117,1.067,6.7541,0.2121,0.3788,0.4092,0.7346,0.0996,4.4045,1.615,0.4554,310.56469291920484
M50L-01,1,10.0,3.0,2022.0,2023.0,2.0,3.0,3.0,0.5556,2022.596,459.809,290.319,13.1151,19.0,1.3475,0.7024,5.5887,0.6295,0.0405,0.33,0.26,0.9487,3.5296,1.1765,0.3972,492.0259528134669
M50L-01,1,15.0,5.0,2181.0,2184.0,4.0,3.0,4.0,0.3125,2182.752,712.881,1234.604,15.4225,19.0,1.4109,0.6634,5.6183,0.6024,0.1971,0.2004,0.6399,0.6039,3.8441,1.7742,0.4059,522.1041390153885
M50L-01,1,14.0,3.0,3085.0,3087.0,3.0,4.0,3.0,0.3889,3086.315,799.37,181.842,14.6185,19.0,1.4457,0.5107,5.6481,0.3611,0.2058,0.4331,0.1907,0.0139,4.0131,1.1891,0.2717,537.7214054359376
M50L-01,1,21.0,12.0,3469.0,3471.0,3.0,4.0,4.0,0.4375,3470.051,515.556,632.066,26.4339,44.0,2.2647,0.5627,13.0636,0.5566,0.1081,0.3353,0.3473,0.5171,5.3442,1.3361,0.7279,212.73591020793828
M50L-01,0,37.0,8.0,3512.0,3514.0,3.0,5.0,14.0,0.1762,3513.2,616.957,696.906,27.0772,26.0,1.7365,6.0009,7.7297,0.9521,0.0215,0.0264,0.0176,0.9937,4.4594,1.1892,0.5668,96.8072191781171
M50L-01,0,10.0,5.0,3512.0,3514.0,3.0,3.0,3.0,0.3704,3513.443,619.275,687.719,15.7006,27.0,1.6168,0.6821,8.0275,0.4819,0.2094,0.3087,0.3296,0.3168,3.865,1.1892,0.6467,96.46242058957468
M50L-01,0,11.0,5.0,3512.0,3515.0,4.0,3.0,3.0,0.3056,3513.684,622.559,679.237,15.8666,33.0,2.0508,0.685,9.8114,0.4676,0.2713,0.2612,0.6917,0.7138,2.6761,0.5947,0.6102,95.89478948305798
M50L-01,0,10.0,4.0,3513.0,3515.0,3.0,5.0,2.0,0.3333,3513.708,681.273,617.621,15.1368,28.0,1.7391,1.3602,8.3248,0.7383,0.177,0.0847,0.0297,0.1026,4.0139,1.9324,0.7205,99.88568551098804
