"serial_number","z_position","box_index","x_center","y_center"
M50L-01,12.0,1,502.70000000000005,1157.8
M50L-01,18.0,1,578.0,194.8
M50L-01,20.0,1,649.5,1097.9
M50L-01,29.0,1,384.4,186.6
M50L-01,31.0,1,831.3,942.7
M50L-01,34.0,1,1200.7,670.9
M50L-01,34.0,2,518.6,1089.5
M50L-01,38.0,1,998.9,713.5
M50L-01,39.0,1,1068.3,513.4
M50L-01,49.0,1,143.7,582.9
M50L-01,55.0,1,592.6,866.4
M50L-02,16.0,1,611.2,1193.0
M50L-02,18.0,1,580.0,972.3
M50L-02,22.0,1,780.6,144.4
M50L-02,25.0,1,245.0,357.1
M50L-02,30.0,1,299.8,385.2
M50L-02,31.0,1,730.6,785.0
M50L-02,31.0,2,763.4,787.0
M50L-02,42.0,1,571.6,874.4
M50L-02,60.0,1,661.2,510.5
M50L-03,21.0,1,529.1,456.0
M50L-03,44.0,1,291.8,935.0
M50L-03,48.0,1,677.0,229.0
M50L-03,48.0,2,166.1,645.6
M50L-03,48.0,3,1144.5,404.9
M50L-03,59.0,1,916.0,309.8
M50L-03,61.0,1,1064.8,652.2
M50L-04,8.0,1,437.7,530.0
M50L-04,11.0,1,635.2,1098.0
M50L-04,11.0,2,634.8,1097.5
M50L-04,14.0,1,659.2,846.8
M50L-04,28.0,1,693.3,204.8
M50L-04,42.0,1,818.4,745.4
M50L-04,46.0,1,402.8,1041.6
M50L-04,46.0,2,402.8,1041.6
M50L-04,48.0,1,404.1,577.0
M50L-04,52.0,1,618.2,1049.2
M50L-04,52.0,2,816.9,1227.6
M50L-04,53.0,1,785.2,85.5
M50L-04,53.0,2,785.2,85.5
M50L-04,59.0,1,542.0,524.9
M50L-05,26.0,1,1076.6,872.4
M50L-05,46.0,1,1221.8,634.3
M50L-05,52.0,1,825.8,486.9
M50L-05,59.0,1,288.0,737.2
M50L-06,14.0,1,778.4,1100.1
M50L-06,14.0,2,511.29999999999995,1199.2
M50L-06,16.0,1,216.4,913.9
M50L-06,22.0,1,1087.6,757.8
M50L-06,26.0,1,1013.9,447.2
M50L-06,26.0,2,742.0,976.4
M50L-06,27.0,1,606.5,813.3
M50L-06,27.0,2,606.5,813.3
M50L-06,30.0,1,437.3,584.6
M50L-06,43.0,1,1162.9,485.7
M50L-06,44.0,1,1049.1,645.3
M50L-06,45.0,1,1165.0,641.3
M50L-06,59.0,1,744.7,111.5
M50L-06,61.0,1,552.5,666.8
M50L-07,22.0,1,725.6,974.4
M50L-07,23.0,1,882.6,1079.0
M50L-07,32.0,1,405.2,715.1
M50L-07,37.0,1,763.9,1173.0
M50L-07,40.0,1,484.4,979.1
M50L-07,41.0,1,712.8,183.7
M50L-07,47.0,1,648.8,106.9
M50L-07,50.0,1,703.0,324.0
M50L-07,50.0,2,773.6,342.0
M50L-07,50.0,3,1085.0,685.4
M50L-07,53.0,1,527.1,475.4
M50L-08,4.0,1,969.8,795.6
M50L-08,26.0,1,1025.4,947.9
M50L-08,42.0,1,570.3,120.30000000000001
M50L-08,45.0,1,78.4,756.7
M50L-09,13.0,1,560.5,875.5
M50L-09,31.0,1,522.6,258.4
M50L-09,39.0,1,432.3,606.3
M50L-09,48.0,1,1120.5,434.1
M50L-09,49.0,1,670.6,302.9
M50L-09,59.0,1,952.1,865.1
M50L-09,65.69999694824219,1,278.0,587.7
M50L-09,65.69999694824219,2,305.5,437.9
M50L-10,16.0,1,780.6,740.9
M50L-10,21.0,1,239.7,707.1
M50L-10,21.0,2,819.5,1264.5
M50L-10,21.0,3,240.2,707.9
M50L-10,40.0,1,551.9,855.7
M50L-10,63.0,1,400.7,349.8
M50L-11,27.0,1,845.3,1190.1
M50L-11,29.0,1,756.0,173.5
M50L-11,29.0,2,983.1,191.6
M50L-11,54.0,1,1111.6,691.0
M50L-11,58.0,1,473.1,1191.6
M50L-12,16.0,1,768.1,494.1
M50L-12,30.0,1,720.5,391.6
M50L-12,31.0,1,721.4,392.2
M50L-12,34.0,1,407.1,793.8
M50L-12,34.0,2,224.7,816.9
M50L-12,45.0,1,614.5,768.3
M50L-12,64.0,1,959.3,185.7
M50L-14,19.0,1,1079.3,515.8
M50L-14,27.0,1,424.2,1061.4
M50L-14,32.0,1,192.0,441.9
M50L-14,38.0,1,738.2,984.8
