portal_idx,serial_number,z_portal,y_center,x_center,status,z_raw,y_raw,x_raw,ml_prob,particle_class,notes
0,M50L-01,12.0,1157.8,502.7000000000001,matched,878.0,229.0,530.0,,,
1,M50L-01,18.0,194.8,578.0,matched,1241.0,1190.0,608.0,,,
2,M50L-01,20.0,1097.9,649.5,matched,1351.0,288.0,680.0,,,
3,M50L-01,29.0,186.6,384.4,matched,1912.0,1198.0,417.0,,,
4,M50L-01,31.0,942.7,831.3,matched,1994.0,441.0,865.0,,,
5,M50L-01,34.0,670.9,1200.7,matched,2183.0,713.0,1234.0,,,
6,M50L-01,34.0,1089.5,518.6,matched,2195.0,292.0,554.0,,,
7,M50L-01,38.0,713.5,998.9,matched,2459.0,670.0,1034.0,,,
8,M50L-01,39.0,513.4,1068.3,matched,2508.0,869.0,1105.0,,,
9,M50L-01,49.0,582.9,143.7,matched,3086.0,799.0,182.0,,,
10,M50L-01,55.0,866.4,592.6,matched,3470.0,515.0,632.0,,,
11,M50L-02,16.0,1193.0,611.2,matched,1091.0,192.0,639.0,,,
12,M50L-02,18.0,972.3,580.0,matched,1195.0,413.0,609.0,,,
13,M50L-02,22.0,144.4,780.6,matched,1438.0,1240.0,811.0,,,
14,M50L-02,25.0,357.1,245.0,matched,1674.0,1025.0,277.0,,,
15,M50L-02,30.0,385.2,299.8,matched,1927.0,997.0,332.0,,,
16,M50L-02,31.0,785.0,730.6,matched,2059.0,582.0,770.0,,,
17,M50L-02,31.0,787.0,763.4,matched,1998.0,596.0,796.0,,,
18,M50L-02,42.0,874.4,571.6,no_match,,,,,,
19,M50L-02,60.0,510.5,661.2,matched,3755.0,868.0,702.0,,,
20,M50L-03,21.0,456.0,529.1,matched,1419.0,926.0,560.0,,,
21,M50L-03,44.0,935.0,291.8,matched,2831.0,443.0,329.0,,,
22,M50L-03,48.0,229.0,677.0,matched,3044.0,1148.0,714.0,,,
23,M50L-03,48.0,645.6,166.1,matched,3025.0,732.0,204.0,,,
24,M50L-03,48.0,404.9,1144.5,matched,3064.0,972.0,1183.0,,,
25,M50L-03,59.0,309.8,916.0,matched,3718.0,1065.0,957.0,,,
26,M50L-03,61.0,652.2,1064.8,matched,3819.0,722.0,1106.0,,,
27,M50L-04,8.0,530.0,437.7,matched,611.0,856.0,467.0,,,
28,M50L-04,11.0,1098.0,635.2,matched,782.0,285.0,665.0,,,
29,M50L-04,11.0,1097.5,634.8,matched,782.0,285.0,665.0,,,
30,M50L-04,14.0,846.8,659.2,no_match,,,,,,
31,M50L-04,28.0,204.8,693.3,matched,1802.0,1178.0,726.0,,,
32,M50L-04,42.0,745.4,818.4,matched,2656.0,634.0,854.0,,,
33,M50L-04,46.0,1041.6,402.8,matched,2947.0,335.0,440.0,,,
34,M50L-04,46.0,1041.6,402.8,matched,2947.0,335.0,440.0,,,
35,M50L-04,48.0,577.0,404.1,matched,3021.0,803.0,440.0,,,
36,M50L-04,52.0,1049.2,618.2,no_match,,,,,,
37,M50L-04,52.0,1227.6,816.9,matched,3290.0,150.0,854.0,,,
38,M50L-04,53.0,85.5,785.2,matched,3324.0,1293.0,822.0,,,
39,M50L-04,53.0,85.5,785.2,matched,3324.0,1293.0,822.0,,,
40,M50L-04,59.0,524.9,542.0,matched,3712.0,852.0,581.0,,,
41,M50L-05,26.0,872.4,1076.6,matched,1722.0,510.0,1109.0,,,
42,M50L-05,46.0,634.3,1221.8,matched,2897.0,742.0,1260.0,,,
43,M50L-05,52.0,486.9,825.8,matched,3309.0,889.0,865.0,,,
44,M50L-05,59.0,737.2,288.0,matched,3709.0,637.0,330.0,,,
45,M50L-06,14.0,1100.1,778.4,matched,952.0,284.0,806.0,,,
46,M50L-06,14.0,1199.2,511.3,matched,946.0,156.0,540.0,,,
47,M50L-06,16.0,913.9,216.4,matched,1109.0,470.0,245.0,,,
48,M50L-06,22.0,757.8,1087.6,matched,1450.0,624.0,1118.0,,,
49,M50L-06,26.0,447.2,1013.9,matched,1684.0,934.0,1045.0,,,
50,M50L-06,26.0,976.4,742.0,matched,1715.0,403.0,776.0,,,
51,M50L-06,27.0,813.3,606.5,matched,1742.0,565.0,639.0,,,
52,M50L-06,27.0,813.3,606.5,matched,1742.0,565.0,639.0,,,
53,M50L-06,30.0,584.6,437.3,matched,1920.0,790.0,469.0,,,
54,M50L-06,43.0,485.7,1162.9,matched,2741.0,892.0,1198.0,,,
55,M50L-06,44.0,645.3,1049.1,matched,2809.0,731.0,1086.0,,,
56,M50L-06,45.0,641.3,1165.0,matched,2862.0,735.0,1201.0,,,
57,M50L-06,59.0,111.5,744.7,matched,3732.0,1262.0,783.0,,,
58,M50L-06,61.0,666.8,552.5,matched,3815.0,706.0,591.0,,,
59,M50L-07,22.0,974.4,725.6,matched,1452.0,407.0,756.0,,,
60,M50L-07,23.0,1079.0,882.6,matched,1513.0,302.0,913.0,,,
61,M50L-07,32.0,715.1,405.2,matched,2067.0,664.0,438.0,,,
62,M50L-07,37.0,1173.0,763.9,matched,2352.0,205.0,797.0,,,
63,M50L-07,40.0,979.1,484.4,matched,2543.0,398.0,518.0,,,
64,M50L-07,41.0,183.7,712.8,matched,2650.0,1192.0,747.0,,,
65,M50L-07,47.0,106.9,648.8,matched,2967.0,1269.0,684.0,,,
66,M50L-07,50.0,324.0,703.0,no_match,,,,,,
67,M50L-07,50.0,342.0,773.6,no_match,,,,,,
68,M50L-07,50.0,685.4,1085.0,matched,3190.0,688.0,1121.0,,,
69,M50L-07,53.0,475.4,527.1,matched,3371.0,895.0,564.0,,,
70,M50L-08,4.0,795.6,969.8,matched,399.0,576.0,1009.0,,,
71,M50L-08,26.0,947.9,1025.4,matched,1692.0,431.0,1061.0,,,
