volume_name,z,y,x,gray_level,noise_level,particle_volume
M50L-01_processed.raw,143,409,561,113,7.413,36
M50L-01_processed.raw,386,713,1194,158,7.413,9
M50L-01_processed.raw,819,1157,502,114,8.896,40
M50L-01_processed.raw,1294,1095,649,132,10.378,0
M50L-01_processed.raw,1294,1096,649,113,8.896,36
M50L-01_processed.raw,1797,876,977,97,7.413,24
M50L-01_processed.raw,1817,535,419,168,10.378,10
M50L-01_processed.raw,1829,793,237,174,8.896,15
M50L-01_processed.raw,1852,186,384,242,8.896,59
M50L-01_processed.raw,1937,942,830,115,7.413,26
M50L-01_processed.raw,1963,924,257,102,7.413,23
M50L-01_processed.raw,2089,1110,1009,166,5.930,31
M50L-01_processed.raw,2127,670,1200,101,7.413,24
M50L-01_processed.raw,2402,713,998,103,8.896,26
M50L-01_processed.raw,3027,582,142,125,5.930,42
M50L-01_processed.raw,3080,864,856,97,8.896,7
M50L-01_processed.raw,3412,866,592,233,8.896,30
M50L-01_processed.raw,3693,179,366,121,5.930,81
M50L-01_processed.raw,3757,873,397,101,8.896,21
