slice,grayvalue,area,mean_contrast,max_contrast,cx,cy
144,105,2,4.3366747,4.405511,535,220
144,70,2,4.474347,4.6808558,996,398
144,108,6,7.0212836,8.67335,562,408
144,122,2,4.3366747,4.405511,374,540
144,108,2,4.8873634,5.3692164,696,706
144,75,2,4.6808558,4.6808558,968,707
145,144,6,1.6966232,4.2644854,976,230
145,79,14,2.0634606,5.9152536,562,408
145,131,4,4.0925303,4.6771774,1016,556
145,111,9,1.2992159,4.9523053,682,683
145,124,6,1.9488239,4.2644854,938,688
145,119,9,1.2686462,4.2644854,685,689
145,110,4,2.0290697,4.6771774,696,706
145,81,6,2.4073708,4.2644854,840,722
145,66,9,2.690141,4.8147416,719,751
145,110,6,2.682499,4.2644854,882,751
145,89,3,1.2380763,2.3385887,454,910
146,142,9,1.2236956,4.129973,976,230
146,64,6,1.3307691,4.129973,856,270
146,131,6,2.2485406,4.4053044,762,348
146,52,2,0.41299728,0.82599455,562,408
146,123,4,3.372811,3.5793097,1016,556
146,120,6,2.8450925,4.54297,532,625
146,126,4,3.9578905,5.093633,282,654
146,125,6,2.042042,4.2676387,938,688
146,122,9,1.4225461,4.680636,685,689
146,90,1,1.1013261,1.1013261,695,705
146,82,6,1.9961535,4.2676387,840,722
146,76,13,2.4144459,4.8183017,719,752
146,115,6,2.340318,4.4053044,882,751
147,66,6,1.9670066,4.5286894,856,270
147,134,6,2.9047654,4.8031554,762,348
147,111,4,3.0877428,4.6659226,694,704
147,81,14,2.3917754,5.6265535,720,752
147,85,13,2.354074,5.6265535,719,752
148,89,12,3.2880297,6.7130604,720,752
149,79,11,2.286151,5.6035547,719,753
150,96,3,2.732022,5.1908417,794,229
150,82,8,3.1759753,6.147049,719,753
151,134,6,2.9547732,5.7277145,794,230
151,93,13,2.4442441,6.1368365,719,754
152,81,9,2.4305496,4.891292,719,754
153,61,2,1.5640486,1.6320508,589,356
153,131,6,2.1080656,4.760148,952,607
153,81,8,2.56708,4.6241436,719,754
153,73,6,2.6747496,4.6241436,585,760
153,111,6,1.9177308,4.873292,586,356
153,84,2,2.098223,2.978123,692,703
153,104,1,2.0305383,2.0305383,694,705
153,66,10,3.099955,5.1440306,720,754
153,105,6,3.0792542,6.4731765,685,690
153,102,9,3.0717618,5.124598,693,703
152,100,14,2.1650605,6.1968846,587,356
152,74,4,3.6036232,5.79274,686,690
152,107,6,2.2677004,5.2538805,688,696
152,96,1,2.4248679,2.4248679,693,703
152,89,2,1.5492212,1.8860084,694,705
151,87,11,1.819399,4.4624453,587,356
151,83,4,3.110189,4.7328963,686,690
151,103,6,2.1410723,5.003348,688,696
151,109,6,1.9833089,5.54425,695,706
151,71,14,2.9363277,8.383988,720,754
150,87,8,2.3872848,4.46981,588,356
150,96,4,3.5216687,5.959747,680,682
150,108,8,2.6073892,5.688849,695,705
150,77,13,2.9798732,7.9914784,720,753
154,106,8,1.8303964,4.970618,685,691
154,105,14,2.43733,5.373641,692,703
154,67,7,2.80197,5.911005,719,754
149,84,6,2.868431,4.472042,588,356
149,103,6,2.3489513,5.2851405,680,681
149,89,2,1.9649881,3.2523942,686,690
149,107,8,2.7442076,5.2851405,695,705
149,67,14,2.6716094,5.827206,720,752
148,96,6,1.8565283,4.3469934,680,681
148,113,6,2.4225433,5.705429,685,690
148,112,11,2.630425,5.977116,695,705
148,92,2,3.7356977,4.482837,702,713
144,105,2,4.3366747,4.405511,535,220
144,70,2,4.474347,4.6808558,996,398
144,108,6,7.0212836,8.67335,562,408
144,122,2,4.3366747,4.405511,374,540
144,108,2,4.8873634,5.3692164,696,706
144,75,2,4.6808558,4.6808558,968,707
144,108,6,7.0212836,8.67335,562,408
145,79,11,2.5887053,5.9152536,562,408
