input_file_name,output_file_name,input_file_path,output_file_path,VOLUME_DIR,OUTPUT_NAME_SUFFIX,OVERWRITE_OUTPUT,SKIP_NAME_SUFFIXES,VOXELS_X,VOXELS_Y,VOXELS_Z,VOXELS_Z_UPPERLIMIT_UINT8,VOXELS_Z_UPPERLIMIT_UINT16,VOXEL_SIZE_MM,CAN_DIAMETER_MM,CAN_HEIGHT_MM,RUN_ADJUST_CONTRAST,RUN_ALIGN,RUN_CROP_RADIAL,RUN_MASK_RADIAL,RUN_CROP_AXIAL,RUN_FLIP_Y,MAX_INPUT_PERCENTILE,DOWNSAMPLING_FACTOR,SIGMA_ALIGNMENT,MAX_ROTATION_ANGLE_DEGREES,ORDER_ALIGNMENT_ROTATION,ALIGN_COMBINED,RADIAL_PADDING_MM,SIGMA_RADIAL_CROPPING,RELATIVE_DETECTED_DIAMETER_TOLERANCE,AXIAL_PADDING_MM,PEAK_OFFSET_MM,EDGE_DETECTION_SIGMA_VOXELS,UPPER_CROP_DISTANCE_MM,ROTATION_CHUNK_BYTES,VERBOSE,PROCESS_LOG_FILE,theta_degrees,phi_degrees,theta_rotation_seconds,phi_rotation_seconds,time_seconds_load_raw_volume,time_seconds_adjust_contrast,time_seconds_align,time_seconds_downcast_to_uint8,time_seconds_crop_radial,time_seconds_mask_radial,time_seconds_crop_axial,time_seconds_flip_y,time_seconds_save_raw_volume,time_seconds_total
M50L-01.raw,M50L-01_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-01.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-01_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,-0.10332992503014381,0.2555565208780402,447.9134247303009,472.7884759902954,53.21642184257507,8.708187103271484,920.9718129634857,3.0994415283203125e-06,0.08157610893249512,1.355287790298462,13.515952348709106,0.9605779647827148,27.335612058639526,1026.1475129127502
M50L-02.raw,M50L-02_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-02.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-02_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,-0.164629489195975,0.26825093387559834,467.8573808670044,472.65223503112793,54.20324468612671,9.476230144500732,940.7784116268158,3.0994415283203125e-06,0.07899808883666992,1.0313341617584229,12.94347882270813,0.7776937484741211,26.96748685836792,1046.2576467990875
M50L-03.raw,M50L-03_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-03.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-03_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,-0.20386269972116777,0.2707094043316338,449.0606210231781,451.875519990921,54.59048509597778,9.2621591091156,901.2072551250458,3.0994415283203125e-06,0.07797408103942871,1.191359281539917,12.75373101234436,0.8949141502380371,26.88842487335205,1006.8672468662262
M50L-04.raw,M50L-04_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-04.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-04_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,-0.16204358732818266,0.19803918695224337,446.3618710041046,451.224534034729,54.36404490470886,9.447124004364014,897.840626001358,3.0994415283203125e-06,0.07731914520263672,1.056311845779419,12.683752059936523,0.8384959697723389,26.843040943145752,1003.1515421867371
M50L-05.raw,M50L-05_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-05.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-05_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,-0.22256096047449192,0.2325771296974342,447.1921420097351,455.6066610813141,54.64196419715881,8.782756090164185,903.0561189651489,3.0994415283203125e-06,0.07610535621643066,1.864598035812378,13.143882989883423,0.7588129043579102,27.193070888519287,1009.5180642604828
M50L-06.raw,M50L-06_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-06.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-06_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,-0.2281059591142969,0.20345646765379166,449.1460440158844,461.7252333164215,54.945526123046875,9.120469093322754,911.1525340080261,1.9073486328125e-06,0.08024334907531738,0.6765291690826416,12.897027730941772,0.8189539909362793,27.017525911331177,1016.7098429203033
M50L-07.raw,M50L-07_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-07.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-07_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,-0.2549237047419305,0.1809273920117442,453.2443940639496,453.9294128417969,54.59399223327637,9.251244068145752,907.4368178844452,3.0994415283203125e-06,0.08037376403808594,1.6230881214141846,13.286274909973145,0.6711521148681641,26.95458722114563,1013.8983521461487
M50L-08.raw,M50L-08_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-08.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-08_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,0.2698192920128609,-0.10551662590080273,455.91674184799194,450.195481300354,54.70453715324402,9.103978872299194,906.378007888794,2.86102294921875e-06,0.08031415939331055,0.66522216796875,12.911033153533936,0.7910809516906738,27.80849814414978,1012.4432330131531
M50L-09.raw,M50L-09_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-09.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-09_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,0.2770344613050716,-0.17337838910635572,456.01005697250366,449.1016311645508,55.130531787872314,9.132369995117188,905.3798730373383,2.86102294921875e-06,0.07810616493225098,0.6505367755889893,12.861943006515503,0.756680965423584,28.066095113754272,1012.0569410324097
M50L-10.raw,M50L-10_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-10.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-10_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,0.24183507085850947,-0.35335732255985286,454.39961290359497,449.873409986496,54.72666883468628,9.324567079544067,904.5419552326202,4.0531158447265625e-06,0.0832209587097168,0.6495859622955322,12.859967947006226,0.7452430725097656,28.140808820724487,1011.0726549625397
M50L-11.raw,M50L-11_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-11.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-11_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,0.06952653996947317,-0.3405302860549817,449.73811197280884,447.93317770957947,54.551164865493774,8.835018157958984,897.9369549751282,3.0994415283203125e-06,0.08117198944091797,0.6580829620361328,12.838400602340698,0.748971700668335,30.911859035491943,1006.5625929832458
M50L-12.raw,M50L-12_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-12.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-12_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,0.10331095630979677,-0.1691500392472248,451.1666810512543,448.84521079063416,54.56881618499756,9.42151403427124,900.2772300243378,3.0994415283203125e-06,0.07816791534423828,0.6459171772003174,12.744584321975708,0.7418570518493652,31.327099323272705,1009.8062682151794
M50L-13.raw,M50L-13_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-13.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-13_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,0.1476598823587861,-0.2284960991225848,446.37898111343384,443.47128772735596,54.719589710235596,9.002548217773438,890.1136190891266,2.1457672119140625e-06,0.07475519180297852,0.629450798034668,12.583654880523682,0.7112441062927246,31.01708197593689,998.8527009487152
M50L-14.raw,M50L-14_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-14.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-14_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,0.1646315562666421,-0.221375673784124,444.82173323631287,442.98619985580444,55.18475699424744,9.1222562789917,888.069363117218,3.0994415283203125e-06,0.07659101486206055,0.6201298236846924,12.52057409286499,0.731482982635498,30.359405040740967,996.6851329803467
M50L-15.raw,M50L-15_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-15.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-15_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,-0.041151281088810096,0.027864362743066463,446.4593369960785,443.2479782104492,55.66875076293945,8.938140153884888,889.9675529003143,3.0994415283203125e-06,0.07330584526062012,0.6160600185394287,12.546425819396973,0.7104377746582031,31.08596396446228,999.6071696281433
M50L-16.raw,M50L-16_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-16.raw,/Users/jim/Documents/GitHub/particles/Data/volumes/M50L-16_processed.raw,/Users/jim/Documents/GitHub/particles/Data/volumes,_processed,False,"[""_processed""]",1425,1425,,6000,12000,0.0164,21.0,70.0,True,True,True,True,True,True,98.5,10,3.0,30.0,3,False,0.5,3.0,0.05,0.5,0.0,1.0,,2147483648,False,process_raw_volume_log.csv,-0.032416345521581263,-0.0024592480020713616,446.2677800655365,0.0,54.34220910072327,9.206731081008911,446.5295159816742,2.1457672119140625e-06,0.07557916641235352,0.6124300956726074,12.596785068511963,0.6988468170166016,29.510987043380737,553.5736749172211
