cluster_root,volume_name,n_seed,n_seed_regions,n_seed_total,fill_pca,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio,diag,gs_median,gs_p90,gs_peak,gs_shell_median,gs_contrast,volume_mm3,z_extent_mm,y_extent_mm,x_extent_mm,radial_pos_frac,dist_to_z_boundary_mm,ml_label,sample_weight
"('M50L-01', 16, 205, 568, 614)",M50L-01,3,1,3,0.6366,8.4256,14.0,1.037,0.7076,4.3701,0.0,0.75,0.25,0.0,0.0,4.6796,1.7158,0.7778,1.0,138.0,144.4,145.0,121.0,17.0,1.7657819436277256e-05,0.0328087,0.01640435,0.0328087,0.268,0.0,0,0.125
"('M50L-01', 13, 205, 588, 698)",M50L-01,3,1,3,0.4786,11.4406,17.0,1.2268,0.5626,5.3065,0.5493,0.3786,0.0721,0.3827,0.0,4.3693,0.9359,0.4948,0.9311,136.0,139.0,139.0,120.0,16.0,3.0901184013485196e-05,0.04921305000000001,0.01640435,0.0656174,0.205,0.0,0,0.1111111111111111
"('M50L-01', 18, 205, 602, 636)",M50L-01,3,1,3,0.459,10.8492,15.0,1.1413,1.0322,4.6822,0.4446,0.3606,0.1948,0.5845,0.4988,3.7439,1.8702,0.4674,1.0301,141.0,147.2,149.0,124.0,17.0,3.0901184013485196e-05,0.04921305000000001,0.0328087,0.04921305000000001,0.204,0.0,0,0.2
"('M50L-01', 2, 206, 614, 648)",M50L-01,3,1,3,0.6366,9.6739,18.0,1.1613,0.6738,5.6187,0.0,0.75,0.25,0.0,0.0,4.2118,0.312,0.7903,1.0,139.5,144.4,145.0,121.5,18.0,1.7657819436277256e-05,0.0328087,0.01640435,0.0328087,0.18,0.0,0,0.14285714285714285
"('M50L-01', 9, 205, 617, 691)",M50L-01,3,1,3,0.6028,11.5841,27.0,1.6265,0.6884,8.428,0.5854,0.2927,0.122,0.3162,0.0,2.8111,0.1581,0.7229,0.9545,132.0,141.8,145.0,120.0,12.0,2.207227429534657e-05,0.0328087,0.01640435,0.04921305000000001,0.16,0.0,0,0.1111111111111111
"('M50L-01', 19, 206, 619, 629)",M50L-01,3,1,3,0.5232,9.908,16.0,1.1268,0.7082,4.9916,0.3432,0.2505,0.4063,0.6059,0.3645,3.431,0.7807,0.6479,1.1376,138.0,139.0,139.0,124.0,14.0,2.207227429534657e-05,0.0328087,0.0328087,0.0328087,0.188,0.01640435,0,0.14285714285714285
"('M50L-01', 13, 205, 620, 702)",M50L-01,3,1,3,0.6366,8.6505,18.0,1.125,0.9375,5.6187,0.8889,0.0,0.1111,0.0,1.0,3.5907,1.2472,1.0,1.0,131.0,135.0,136.0,119.0,12.0,1.3243364577207943e-05,0.01640435,0.01640435,0.04921305000000001,0.155,0.0,0,0.07142857142857142
"('M50L-01', 3, 205, 622, 708)",M50L-01,8,1,8,0.4476,17.6633,27.0,1.5084,1.299,8.428,0.4912,0.3729,0.1359,0.3975,0.1112,4.2139,1.2486,0.8659,0.9454,133.0,140.6,146.0,118.0,15.0,4.414454859069314e-05,0.04921305000000001,0.0328087,0.0656174,0.154,0.0,0,0.09090909090909091
"('M50L-01', 3, 205, 622, 708)",M50L-01,6,2,8,0.3676,18.4628,23.0,1.3463,1.0923,7.1794,0.4278,0.4929,0.0793,0.3268,0.0951,3.7415,0.9326,0.7561,1.1509,131.0,137.7,139.0,119.0,12.0,5.297345830883177e-05,0.0656174,0.0328087,0.0656174,0.152,0.0,0,0.09090909090909091
"('M50L-01', 18, 205, 624, 713)",M50L-01,3,1,3,0.5591,10.451,25.0,1.2931,0.4025,7.8037,0.5333,0.2667,0.2,0.7071,0.0,3.4328,0.312,1.0,1.118,132.0,138.4,140.0,118.0,14.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.151,0.0,0,0.25
