slab_thickness,volume,k_high,m_ge_1,m_ge_2,m_ge_3,m_ge_4,m_ge_5,measured_m1,analytic_np_m1,tail_ratio_m1
25,M50L-11,3.00,10878194,1703370,340228,84735,22936,13042024,10583529,1.2
25,M50L-11,3.50,3200805,318989,39694,6687,1379,3569103,1823869,2.0
25,M50L-11,4.00,885718,55341,4193,602,158,946590,248310,3.8
25,M50L-11,4.20,391006,18703,1089,187,94,411520,104634,3.9
25,M50L-11,4.50,154918,5459,291,94,60,161127,26639,6.0
25,M50L-11,5.00,24353,572,77,50,32,25239,2247,11.2
25,M50L-06,3.00,11706630,1875218,382713,97193,27033,14105019,10599976,1.3
25,M50L-06,3.50,2877442,270734,31143,5110,1054,3187433,1826703,1.7
25,M50L-06,4.00,759217,45174,3358,585,238,809632,248696,3.3
25,M50L-06,4.20,380108,17829,1114,246,133,400145,104797,3.8
25,M50L-06,4.50,140650,5001,411,172,114,146994,26680,5.5
25,M50L-06,5.00,22295,641,122,80,53,23524,2251,10.5
25,M50L-01,3.00,10859805,1695085,338287,83874,22761,13014651,10589011,1.2
25,M50L-01,3.50,3179461,312966,37759,6490,1395,3540333,1824813,1.9
25,M50L-01,4.00,713015,41840,3116,553,214,759814,248439,3.1
25,M50L-01,4.20,320926,14465,943,231,118,337413,104688,3.2
25,M50L-01,4.50,126034,4388,336,115,62,131470,26652,4.9
25,M50L-01,5.00,26553,787,126,59,41,27900,2249,12.4
23,M50L-01,3.00,11135067,1748837,349704,86388,23407,13356771,10589011,1.3
23,M50L-01,3.50,3410209,342882,41909,7122,1416,3805236,1824813,2.1
23,M50L-01,4.00,715459,41817,3012,487,175,761751,248439,3.1
23,M50L-01,4.20,332048,15114,940,202,93,348978,104688,3.3
23,M50L-01,4.50,127384,4364,307,93,51,132593,26652,5.0
23,M50L-01,5.00,28601,784,120,57,40,29813,2249,13.3
23,M50L-06,3.00,12294144,1997441,411943,105497,29410,14854713,10599976,1.4
23,M50L-06,3.50,2865143,268586,30396,4894,986,3171542,1826703,1.7
23,M50L-06,4.00,784939,47047,3400,546,201,836988,248696,3.4
23,M50L-06,4.20,410144,19462,1141,218,115,431660,104797,4.1
23,M50L-06,4.50,153377,5491,387,145,97,160035,26680,6.0
23,M50L-06,5.00,22806,608,107,66,44,23908,2251,10.6
23,M50L-11,3.00,11791854,1891257,385588,97519,26623,14206117,10583529,1.3
23,M50L-11,3.50,4123973,450098,60923,10963,2263,4649808,1823869,2.5
23,M50L-11,4.00,883981,54885,4057,545,133,944088,248310,3.8
23,M50L-11,4.20,394669,18776,1067,166,76,415143,104634,4.0
23,M50L-11,4.50,156730,5442,276,75,44,162835,26639,6.1
23,M50L-11,5.00,25225,571,68,42,28,26082,2247,11.6
